X,Y,Nedbor,Month
1.0,0.5,66.0,1.0
1.0,0.5,59.0,2.0
1.0,0.5,78.0,3.0
1.0,0.5,59.0,4.0
1.0,0.5,42.0,5.0
1.0,0.5,47.0,6.0
1.0,0.5,64.0,7.0
1.0,0.5,71.0,8.0
1.0,0.5,79.0,9.0
1.0,0.5,76.0,10.0
1.0,0.5,106.0,11.0
1.0,0.5,103.0,12.0
1.0,8.0,119.0,1.0
1.0,8.0,102.0,2.0
1.0,8.0,127.0,3.0
1.0,8.0,81.0,4.0
1.0,8.0,75.0,5.0
1.0,8.0,66.0,6.0
1.0,8.0,106.0,7.0
1.0,8.0,133.0,8.0
1.0,8.0,119.0,9.0
1.0,8.0,106.0,10.0
1.0,8.0,194.0,11.0
1.0,8.0,186.0,12.0
2.0,2.0,103.0,1.0
2.0,2.0,103.0,2.0
2.0,2.0,106.0,3.0
2.0,2.0,108.0,4.0
2.0,2.0,76.0,5.0
2.0,2.0,70.0,6.0
2.0,2.0,97.0,7.0
2.0,2.0,132.0,8.0
2.0,2.0,122.0,9.0
2.0,2.0,108.0,10.0
2.0,2.0,197.0,11.0
2.0,2.0,269.0,12.0
2.0,9.0,158.0,1.0
2.0,9.0,108.0,2.0
2.0,9.0,166.0,3.0
2.0,9.0,130.0,4.0
2.0,9.0,109.0,5.0
2.0,9.0,122.0,6.0
2.0,9.0,175.0,7.0
2.0,9.0,134.0,8.0
2.0,9.0,165.0,9.0
2.0,9.0,159.0,10.0
2.0,9.0,182.0,11.0
2.0,9.0,209.0,12.0
3.0,1.0,78.0,1.0
3.0,1.0,76.0,2.0
3.0,1.0,100.0,3.0
3.0,1.0,56.0,4.0
3.0,1.0,50.0,5.0
3.0,1.0,76.0,6.0
3.0,1.0,91.0,7.0
3.0,1.0,113.0,8.0
3.0,1.0,90.0,9.0
3.0,1.0,106.0,10.0
3.0,1.0,152.0,11.0
3.0,1.0,228.0,12.0
5.0,2.0,143.0,1.0
5.0,2.0,125.0,2.0
5.0,2.0,110.0,3.0
5.0,2.0,85.0,4.0
5.0,2.0,66.0,5.0
5.0,2.0,74.0,6.0
5.0,2.0,108.0,7.0
5.0,2.0,109.0,8.0
5.0,2.0,115.0,9.0
5.0,2.0,130.0,10.0
5.0,2.0,155.0,11.0
5.0,2.0,186.0,12.0
6.0,1.0,98.0,1.0
6.0,1.0,91.0,2.0
6.0,1.0,113.0,3.0
6.0,1.0,77.0,4.0
6.0,1.0,87.0,5.0
6.0,1.0,88.0,6.0
6.0,1.0,118.0,7.0
6.0,1.0,105.0,8.0
6.0,1.0,117.0,9.0
6.0,1.0,118.0,10.0
6.0,1.0,177.0,11.0
6.0,1.0,180.0,12.0
6.0,7.0,136.0,1.0
6.0,7.0,124.0,2.0
6.0,7.0,148.0,3.0
6.0,7.0,99.0,4.0
6.0,7.0,100.0,5.0
6.0,7.0,97.0,6.0
6.0,7.0,120.0,7.0
6.0,7.0,143.0,8.0
6.0,7.0,117.0,9.0
6.0,7.0,116.0,10.0
6.0,7.0,158.0,11.0
6.0,7.0,270.0,12.0
7.0,5.0,195.0,1.0
7.0,5.0,192.0,2.0
7.0,5.0,246.0,3.0
7.0,5.0,164.0,4.0
7.0,5.0,100.0,5.0
7.0,5.0,134.0,6.0
7.0,5.0,188.0,7.0
7.0,5.0,175.0,8.0
7.0,5.0,252.0,9.0
7.0,5.0,202.0,10.0
7.0,5.0,314.0,11.0
7.0,5.0,296.0,12.0
8.0,6.0,201.0,1.0
8.0,6.0,183.0,2.0
