X,Y,Temperatur,Month
1.0,0.5,2.0,1.0
1.0,0.5,1.0,2.0
1.0,0.5,1.0,3.0
1.0,0.5,1.0,4.0
1.0,0.5,1.0,5.0
1.0,0.5,1.0,6.0
1.0,0.5,1.0,7.0
1.0,0.5,2.0,8.0
1.0,0.5,1.0,9.0
1.0,0.5,1.0,10.0
1.0,0.5,1.0,11.0
1.0,0.5,4.0,12.0
1.0,8.0,1.0,1.0
1.0,8.0,1.0,2.0
1.0,8.0,1.0,3.0
1.0,8.0,1.0,4.0
1.0,8.0,1.0,5.0
1.0,8.0,1.0,6.0
1.0,8.0,2.0,7.0
1.0,8.0,1.0,8.0
1.0,8.0,1.0,9.0
1.0,8.0,1.0,10.0
1.0,8.0,2.0,11.0
1.0,8.0,4.0,12.0
2.0,2.0,1.0,1.0
2.0,2.0,1.0,2.0
2.0,2.0,1.0,3.0
2.0,2.0,1.0,4.0
2.0,2.0,1.0,5.0
2.0,2.0,1.0,6.0
2.0,2.0,1.0,7.0
2.0,2.0,1.0,8.0
2.0,2.0,1.0,9.0
2.0,2.0,1.0,10.0
2.0,2.0,2.0,11.0
2.0,2.0,2.0,12.0
2.0,9.0,1.0,1.0
2.0,9.0,1.0,2.0
2.0,9.0,2.0,3.0
2.0,9.0,1.0,4.0
2.0,9.0,1.0,5.0
2.0,9.0,1.0,6.0
2.0,9.0,1.0,7.0
2.0,9.0,1.0,8.0
2.0,9.0,2.0,9.0
2.0,9.0,2.0,10.0
2.0,9.0,1.0,11.0
2.0,9.0,2.0,12.0
3.0,1.0,1.0,1.0
3.0,1.0,1.0,2.0
3.0,1.0,1.0,3.0
3.0,1.0,0.0,4.0
3.0,1.0,1.0,5.0
3.0,1.0,1.0,6.0
3.0,1.0,1.0,7.0
3.0,1.0,1.0,8.0
3.0,1.0,1.0,9.0
3.0,1.0,1.0,10.0
3.0,1.0,1.0,11.0
3.0,1.0,2.0,12.0
5.0,2.0,2.0,1.0
5.0,2.0,2.0,2.0
5.0,2.0,2.0,3.0
